"date","ticker","sector","company","adjusted_price"
2018-12-11,"BAC","Financials","Bank of America Corporation",20.5195903778076
2018-12-11,"COP","Energy","ConocoPhillips",50.6258659362793
2018-12-11,"CVX","Energy","Chevron Corporation",83.3218765258789
2018-12-11,"HD","Consumer","The Home Depot, Inc.",142.964141845703
2018-12-11,"JPM","Financials","JPMorgan Chase & Co.",81.3329238891602
2018-12-11,"MCD","Consumer","McDonald's Corporation",154.116516113281
2018-12-11,"MSFT","Technology","Microsoft Corporation",101.151428222656
2018-12-11,"NVDA","Technology","NVIDIA Corporation",3.6694507598877
2018-12-11,"WFC","Financials","Wells Fargo & Company",38.9257354736328
2018-12-11,"XOM","Energy","Exxon Mobil Corporation",54.6461715698242
2018-12-12,"AAPL","Technology","Apple Inc.",40.1218490600586
2018-12-12,"AMZN","Consumer","Amazon.com, Inc.",83.177001953125
2018-12-12,"BAC","Financials","Bank of America Corporation",20.46950340271
2018-12-12,"COP","Energy","ConocoPhillips",50.4943542480469
2018-12-12,"CVX","Energy","Chevron Corporation",83.4301147460938
2018-12-12,"HD","Consumer","The Home Depot, Inc.",144.624557495117
2018-12-12,"JPM","Financials","JPMorgan Chase & Co.",81.8596343994141
2018-12-12,"MCD","Consumer","McDonald's Corporation",154.024185180664
2018-12-12,"MSFT","Technology","Microsoft Corporation",101.607856750488
2018-12-12,"NVDA","Technology","NVIDIA Corporation",3.68703150749207
2018-12-12,"WFC","Financials","Wells Fargo & Company",38.9094467163086
2018-12-12,"XOM","Energy","Exxon Mobil Corporation",54.175838470459
2018-12-13,"AAPL","Technology","Apple Inc.",40.5607986450195
2018-12-13,"AMZN","Consumer","Amazon.com, Inc.",82.9189987182617
2018-12-13,"BAC","Financials","Bank of America Corporation",20.3693237304688
2018-12-13,"COP","Energy","ConocoPhillips",51.1596717834473
2018-12-13,"CVX","Energy","Chevron Corporation",83.6610260009766
2018-12-13,"HD","Consumer","The Home Depot, Inc.",144.342224121094
2018-12-13,"JPM","Financials","JPMorgan Chase & Co.",81.9406890869141
2018-12-13,"MCD","Consumer","McDonald's Corporation",156.500564575195
2018-12-13,"MSFT","Technology","Microsoft Corporation",101.952507019043
2018-12-13,"NVDA","Technology","NVIDIA Corporation",3.6867835521698
2018-12-13,"WFC","Financials","Wells Fargo & Company",38.3307838439941
2018-12-13,"XOM","Energy","Exxon Mobil Corporation",54.8599662780762
2018-12-14,"AAPL","Technology","Apple Inc.",39.2629432678223
2018-12-14,"AMZN","Consumer","Amazon.com, Inc.",79.5954971313477
2018-12-14,"BAC","Financials","Bank of America Corporation",20.4361152648926
2018-12-14,"COP","Energy","ConocoPhillips",49.9373474121094
2018-12-14,"CVX","Energy","Chevron Corporation",82.1384582519531
2018-12-14,"HD","Consumer","The Home Depot, Inc.",143.030578613281
2018-12-14,"JPM","Financials","JPMorgan Chase & Co.",81.2681045532227
